Wtorek,14,Lipiec,2026,07:58:14:00009-VCID:5FCD167BDD3D95711C-4B18,Wersja VCDS: AKP 21.9.0,Wersja danych: 20211210 DS330.0
074 906 018 AK,,2.5l R5 EDC 0000SG  3905,

,Grupa A:,'003,,,,Grupa B:,'008,,,,Grupa C:,'011
,,Obroty silnika,Iloœæ powietrza/Obr.,Iloœæ powietrza/Obr.,Cykl pracy,,Obroty silnika,Dawka paliwa,Dawka paliwa,Dawka paliwa,,Obroty silnika,Ciœnienie rzecz.,Ciœnienie rzecz.,Cykl pracy
,438.78,775,275.0,455.0,94.4,438.14,775,0.2,25.6,24.8,438.46,775,1081.2,999.6,12.8
,439.74,775,275.0,460.0,94.4,439.10,775,0.2,25.6,25.0,439.42,775,1081.2,999.6,12.8
,440.70,775,280.0,460.0,94.4,440.06,775,0.2,25.6,25.2,440.38,775,1081.2,999.6,12.8
,441.66,1224,260.0,480.0,32.3,441.02,775,0.2,25.6,25.0,441.34,877,1111.8,999.6,12.8
,442.62,796,270.0,460.0,94.4,441.98,857,0.2,25.2,25.2,442.30,816,1071.0,1009.8,12.8
,443.58,775,275.0,460.0,94.4,442.94,775,0.2,25.6,25.2,443.26,775,1081.2,1009.8,12.8
,444.54,775,275.0,460.0,94.4,443.90,775,0.2,25.6,25.6,444.22,775,1081.2,999.6,12.8
,445.50,775,275.0,455.0,94.4,444.86,775,0.2,25.6,25.0,445.18,775,1081.2,999.6,12.8
,446.46,775,275.0,455.0,94.4,445.82,775,0.2,25.6,24.6,446.14,775,1081.2,999.6,12.8
,447.42,775,275.0,460.0,94.4,446.78,775,0.2,25.6,25.0,447.10,775,1081.2,999.6,12.8
,448.38,775,275.0,450.0,94.4,447.74,775,0.2,25.6,25.0,448.06,775,1081.2,999.6,12.8
,449.34,775,275.0,465.0,94.4,448.70,775,0.2,25.6,25.4,449.02,775,1081.2,999.6,12.8
,450.30,775,275.0,450.0,94.4,449.66,775,0.2,25.6,25.4,449.98,775,1081.2,999.6,12.8
,451.26,775,275.0,465.0,94.4,450.62,775,0.2,25.6,25.4,450.94,775,1081.2,999.6,12.8
,452.22,775,275.0,465.0,94.4,451.58,775,0.2,25.6,25.0,451.90,775,1081.2,999.6,12.8
,453.18,775,275.0,450.0,94.4,452.54,775,0.2,25.6,25.4,452.86,775,1081.2,999.6,12.8
,454.14,775,275.0,460.0,94.4,453.50,775,0.2,25.6,24.8,453.82,775,1081.2,999.6,12.8
,455.10,775,275.0,455.0,94.4,454.46,755,0.2,25.6,25.2,454.78,775,1081.2,999.6,12.8
,456.06,775,280.0,465.0,94.4,455.42,775,0.2,25.6,25.2,455.74,775,1081.2,999.6,12.8
,457.02,775,275.0,465.0,94.4,456.38,775,0.2,25.6,24.8,456.70,775,1081.2,999.6,12.8
,457.98,775,275.0,460.0,94.4,457.34,775,0.2,25.6,25.0,457.66,775,1081.2,999.6,12.8
,458.94,775,275.0,465.0,94.4,458.30,775,0.2,25.6,25.4,458.62,775,1081.2,999.6,12.8
,459.90,775,275.0,460.0,94.4,459.26,775,0.2,25.6,25.2,459.58,775,1081.2,999.6,12.8
,460.86,775,280.0,450.0,94.4,460.22,775,0.2,25.6,25.4,460.54,775,1081.2,999.6,12.8
,461.82,775,275.0,450.0,94.4,461.18,775,0.2,25.6,25.2,461.50,775,1081.2,999.6,12.8
,462.78,775,275.0,470.0,94.4,462.14,775,0.2,25.6,25.0,462.46,775,1081.2,999.6,12.8
,463.74,775,275.0,460.0,94.4,463.10,775,0.2,25.6,25.2,463.42,775,1081.2,999.6,12.8
,464.70,775,275.0,455.0,94.4,464.06,775,0.2,25.6,25.2,464.38,775,1081.2,999.6,12.8
,465.66,816,280.0,445.0,94.4,465.02,775,0.2,25.6,25.4,465.34,775,1081.2,999.6,12.8
,466.62,938,280.0,470.0,94.4,465.97,857,3.6,25.4,24.8,466.30,959,1081.2,999.6,12.8
,467.58,959,280.0,470.0,94.4,466.94,938,5.2,25.0,24.4,467.26,959,1081.2,999.6,12.8
,468.54,796,275.0,475.0,94.4,467.90,959,5.0,25.0,24.8,468.22,836,1081.2,1009.8,12.8
,469.50,775,275.0,465.0,94.4,468.85,775,0.2,25.6,25.2,469.18,775,1081.2,999.6,12.8
,470.46,918,280.0,470.0,94.4,469.82,775,0.2,25.6,25.6,470.14,775,1081.2,999.6,12.8
,471.42,836,260.0,470.0,94.4,470.78,918,4.2,25.0,24.6,471.10,918,1081.2,999.6,12.8
,472.38,775,275.0,465.0,94.4,471.74,796,0.2,25.6,25.6,472.06,775,1081.2,999.6,12.8
,473.34,775,275.0,455.0,94.4,472.70,775,0.2,25.6,25.4,473.02,775,1081.2,999.6,12.8
,474.30,979,280.0,450.0,94.4,473.65,775,1.6,25.6,25.2,473.98,1020,1091.4,989.4,12.8
,475.26,1020,290.0,470.0,94.4,474.62,1000,6.8,24.8,24.6,474.94,1000,1091.4,999.6,12.8
,476.22,1306,290.0,475.0,94.4,475.58,1122,8.2,24.4,24.8,475.90,1224,1234.2,999.6,12.8
,477.18,1408,280.0,485.0,94.4,476.54,1367,7.0,27.2,26.2,476.86,1387,1285.2,1009.8,12.8
,478.14,1408,280.0,490.0,94.4,477.50,1408,6.6,28.2,26.6,477.82,1387,1275.0,1030.2,12.8
,479.10,1387,280.0,490.0,94.4,478.46,1387,6.6,28.2,26.6,478.78,1408,1285.2,1030.2,12.8
,480.06,1387,280.0,495.0,94.4,479.42,1387,6.6,28.2,26.6,479.74,1387,1285.2,1040.4,12.8
,481.02,1326,300.0,500.0,94.4,480.38,1387,6.6,28.2,27.0,480.70,1346,1264.8,1040.4,12.8
,481.97,1122,545.0,495.0,4.8,481.33,1061,9.8,24.6,26.4,481.65,918,1122.0,1040.4,12.8
,482.94,1448,570.0,500.0,4.8,482.29,1000,20.0,24.8,26.0,482.61,1142,1244.4,1040.4,12.8
,483.90,2244,485.0,565.0,11.2,483.26,1714,21.6,35.6,28.2,483.57,1999,1744.2,1101.6,12.8
,484.86,1306,515.0,525.0,93.2,484.22,1979,0.2,43.4,30.8,484.54,1408,1224.0,1173.0,13.1
,485.82,1714,850.0,570.0,4.8,485.18,1408,26.8,28.0,28.4,485.50,1571,1754.4,1152.6,12.8
,486.77,2162,795.0,675.0,4.8,486.14,1856,30.6,38.8,31.4,486.45,1999,1978.8,1315.8,12.8
,487.74,2611,585.0,760.0,14.3,487.09,2326,30.6,45.4,38.4,487.42,2489,1978.8,1540.2,12.8
,488.70,1673,315.0,560.0,94.4,488.06,2570,0.2,46.8,38.8,488.38,1816,1234.2,1377.0,25.5
,489.66,1714,765.0,575.0,4.8,489.02,1673,13.2,35.0,29.6,489.34,1693,1570.8,1173.0,12.8
,490.62,1897,850.0,655.0,4.8,489.98,1775,30.4,36.6,31.8,490.30,1836,1978.8,1295.4,12.8
,491.57,2081,510.0,700.0,31.9,490.94,1958,39.8,42.4,35.6,491.25,2020,1907.4,1489.2,12.8
,492.54,2081,275.0,550.0,94.4,491.89,2101,10.4,43.8,35.4,492.21,2060,1285.2,1346.4,17.1
,493.50,1979,265.0,520.0,94.4,492.85,2040,0.2,43.6,29.0,493.18,1999,1264.8,1132.2,12.8
,494.46,1816,265.0,510.0,94.4,493.82,1938,0.2,41.4,28.2,494.14,1877,1244.4,1091.4,12.8
,495.42,1632,260.0,510.0,94.4,494.78,1775,0.2,36.6,28.4,495.10,1714,1213.8,1071.0,12.8
,496.37,918,265.0,510.0,94.4,495.74,1571,0.2,33.0,28.0,496.05,1387,1142.4,1050.6,12.8
,497.33,775,265.0,465.0,94.4,496.69,836,0.2,25.4,25.6,497.01,796,1071.0,1040.4,12.8
,498.29,755,275.0,470.0,94.4,497.65,775,0.2,25.6,25.4,497.97,775,1081.2,1009.8,12.8
,499.25,775,275.0,455.0,94.4,498.61,755,0.2,25.6,24.8,498.93,775,1081.2,1009.8,12.8
,500.21,775,275.0,455.0,94.4,499.57,775,0.2,25.6,25.0,499.89,775,1081.2,1009.8,12.8
,501.17,775,275.0,455.0,94.4,500.53,775,0.2,25.6,24.6,500.85,755,1081.2,999.6,12.8
,502.13,775,275.0,455.0,94.4,501.49,755,0.2,25.6,25.0,501.81,775,1081.2,999.6,12.8
,503.09,775,275.0,455.0,94.4,502.45,775,0.2,25.6,25.0,502.77,755,1081.2,999.6,12.8
,504.05,755,280.0,455.0,94.4,503.41,755,0.2,25.6,25.0,503.73,755,1081.2,999.6,12.8
,505.01,775,275.0,445.0,94.4,504.37,775,0.2,25.6,25.2,504.69,775,1081.2,999.6,12.8
,505.97,775,275.0,460.0,94.4,505.33,775,0.2,25.6,25.2,505.65,775,1081.2,999.6,12.8
,506.93,775,275.0,465.0,94.4,506.29,775,0.2,25.6,25.0,506.61,775,1081.2,999.6,12.8
,507.89,775,280.0,455.0,94.4,507.25,775,0.2,25.6,25.0,507.57,775,1081.2,999.6,12.8
,508.85,775,275.0,450.0,94.4,508.21,775,0.2,25.6,25.4,508.53,775,1081.2,999.6,12.8
,509.81,775,275.0,455.0,94.4,509.17,775,0.2,25.6,25.0,509.49,775,1081.2,999.6,12.8
,510.77,755,280.0,455.0,94.4,510.13,775,0.2,25.6,24.8,510.45,775,1081.2,999.6,12.8
,511.73,775,280.0,460.0,94.4,511.09,775,0.2,25.6,24.8,511.41,775,1081.2,999.6,12.8
,512.69,775,275.0,455.0,94.4,512.05,775,0.2,25.6,25.4,512.37,775,1081.2,999.6,12.8
,513.65,775,280.0,455.0,94.4,513.01,775,0.2,25.6,25.2,513.33,775,1081.2,999.6,12.8
,514.61,775,275.0,465.0,94.4,513.97,775,0.2,25.6,25.0,514.29,775,1081.2,999.6,12.8
,515.57,775,280.0,465.0,94.4,514.93,775,0.2,25.6,25.2,515.25,775,1081.2,999.6,12.8
,516.53,775,275.0,450.0,94.4,515.89,775,0.2,25.6,25.4,516.21,775,1081.2,999.6,12.8
,517.49,775,280.0,455.0,94.4,516.85,775,0.2,25.6,25.2,517.17,775,1081.2,999.6,12.8
,518.45,775,275.0,450.0,94.4,517.81,775,0.2,25.6,25.0,518.13,775,1081.2,999.6,12.8
,519.41,775,275.0,455.0,94.4,518.77,775,0.2,25.6,24.8,519.09,775,1081.2,999.6,12.8
,520.37,775,275.0,460.0,94.4,519.73,775,0.2,25.6,25.2,520.05,775,1081.2,999.6,12.8
,521.31,775,275.0,455.0,94.4,520.67,775,0.2,25.6,25.2,520.99,775,1081.2,999.6,12.8
,522.27,775,275.0,465.0,94.4,521.63,775,0.2,25.6,24.8,521.95,775,1081.2,999.6,12.8
,523.23,775,275.0,460.0,94.4,522.59,775,0.2,25.6,25.2,522.91,775,1081.2,999.6,12.8
,524.19,775,280.0,465.0,94.4,523.55,775,0.2,25.6,25.4,523.87,775,1081.2,999.6,12.8
,525.15,775,275.0,460.0,94.4,524.51,775,0.2,25.6,25.2,524.83,775,1081.2,999.6,12.8
,526.11,775,280.0,465.0,94.4,525.47,775,0.2,25.6,25.0,525.79,775,1081.2,999.6,12.8
,527.07,775,275.0,450.0,94.4,526.43,775,0.2,25.6,25.2,526.75,775,1081.2,999.6,12.8
,528.03,775,275.0,460.0,94.4,527.39,775,0.2,25.6,25.2,527.71,775,1081.2,999.6,12.8
,528.99,775,275.0,460.0,94.4,528.35,775,0.2,25.6,25.0,528.67,775,1081.2,999.6,12.8
,529.95,775,280.0,465.0,94.4,529.31,775,0.2,25.6,24.8,529.63,775,1081.2,999.6,12.8
,530.91,775,275.0,455.0,94.4,530.27,775,0.2,25.6,25.4,530.59,775,1081.2,999.6,12.8
,531.87,775,275.0,460.0,94.4,531.23,775,0.2,25.6,25.4,531.55,775,1081.2,999.6,12.8
,532.83,775,275.0,445.0,94.4,532.19,775,0.2,25.6,25.2,532.51,775,1081.2,999.6,12.8
,533.79,775,275.0,460.0,94.4,533.15,775,0.2,25.6,25.2,533.47,775,1081.2,999.6,12.8
,534.75,775,275.0,465.0,94.4,534.11,775,0.2,25.6,25.0,534.43,775,1081.2,999.6,12.8
,535.71,775,275.0,455.0,94.4,535.07,775,0.2,25.6,25.0,535.39,775,1081.2,999.6,12.8
,536.67,775,275.0,465.0,94.4,536.03,775,0.2,25.6,25.4,536.35,775,1081.2,999.6,12.8
,537.63,775,275.0,450.0,94.4,536.99,775,0.2,25.6,25.0,537.31,775,1081.2,999.6,12.8
,538.59,775,275.0,460.0,94.4,537.95,775,0.2,25.6,25.0,538.27,775,1081.2,999.6,12.8
,539.57,775,275.0,445.0,94.4,538.93,775,0.2,25.6,24.8,539.25,775,1081.2,999.6,12.8
,540.53,775,280.0,460.0,94.4,539.89,775,0.2,25.6,25.0,540.21,775,1081.2,999.6,12.8
,541.49,775,280.0,455.0,94.4,540.85,775,0.2,25.6,25.0,541.17,775,1081.2,999.6,12.8
,542.45,775,270.0,460.0,94.4,541.81,775,0.2,25.6,25.2,542.13,775,1081.2,999.6,12.8
,543.41,775,275.0,455.0,94.4,542.77,775,0.2,25.6,25.0,543.09,775,1081.2,999.6,12.8
,544.36,775,280.0,455.0,94.4,543.73,775,0.2,25.6,25.0,544.05,775,1081.2,999.6,12.8
,545.33,775,275.0,460.0,94.4,544.69,775,0.2,25.6,25.2,545.01,775,1081.2,999.6,12.8
,546.29,775,275.0,455.0,94.4,545.65,775,0.2,25.6,25.0,545.96,775,1081.2,999.6,12.8
,547.25,775,275.0,465.0,94.4,546.61,775,0.2,25.6,24.8,546.93,775,1081.2,999.6,12.8
,548.21,775,275.0,465.0,94.4,547.56,775,0.2,25.6,25.0,547.89,775,1081.2,999.6,12.8
,549.17,775,280.0,460.0,94.4,548.53,775,0.2,25.6,25.2,548.85,775,1081.2,999.6,12.8
,550.13,775,275.0,455.0,94.4,549.49,775,0.2,25.6,25.2,549.81,775,1081.2,999.6,12.8
,551.09,775,275.0,455.0,94.4,550.45,775,0.2,25.6,24.8,550.76,775,1081.2,999.6,12.8
,552.05,775,275.0,460.0,94.4,551.41,775,0.2,25.6,25.0,551.73,775,1081.2,999.6,12.8
,553.01,775,275.0,460.0,94.4,552.36,775,0.2,25.6,25.0,552.69,775,1081.2,999.6,12.8
,553.96,775,275.0,460.0,94.4,553.33,775,0.2,25.6,25.0,553.64,775,1081.2,999.6,12.8
,554.93,775,275.0,450.0,94.4,554.29,775,0.2,25.6,25.0,554.60,775,1081.2,999.6,12.8
,555.89,775,275.0,460.0,94.4,555.25,775,0.2,25.6,25.2,555.57,775,1081.2,999.6,12.8
,556.85,775,275.0,465.0,94.4,556.22,775,0.2,25.6,25.2,556.53,775,1081.2,999.6,12.8
,557.80,775,275.0,450.0,94.4,557.17,775,0.2,25.6,25.0,557.49,775,1081.2,999.6,12.8
,558.76,775,275.0,465.0,94.4,558.13,775,0.2,25.6,25.0,558.44,775,1081.2,999.6,12.8
,559.72,775,275.0,460.0,94.4,559.08,775,0.2,25.6,25.0,559.40,775,1081.2,999.6,12.8
,560.68,775,275.0,465.0,94.4,560.04,775,0.2,25.6,25.2,560.36,775,1081.2,999.6,12.8
,561.64,775,275.0,450.0,94.4,561.01,775,0.2,25.6,25.2,561.33,775,1081.2,999.6,12.8
,562.60,775,275.0,450.0,94.4,561.96,775,0.2,25.6,24.8,562.28,775,1081.2,999.6,12.8
,563.56,775,275.0,465.0,94.4,562.92,775,0.2,25.6,25.0,563.24,775,1081.2,999.6,12.8
,564.53,775,275.0,455.0,94.4,563.88,775,0.2,25.6,25.0,564.20,775,1081.2,999.6,12.8
,565.48,775,275.0,460.0,94.4,564.84,775,0.2,25.6,25.2,565.17,775,1081.2,999.6,12.8
,566.44,775,270.0,455.0,94.4,565.80,775,0.2,25.6,24.8,566.12,775,1081.2,999.6,12.8
,567.40,775,275.0,450.0,94.4,566.76,775,0.2,25.6,25.0,567.08,775,1081.2,999.6,12.8
,568.36,775,275.0,470.0,94.4,567.72,775,0.2,25.6,25.2,568.04,775,1081.2,999.6,12.8
,569.32,755,280.0,460.0,94.4,568.68,775,0.2,25.6,25.0,569.00,775,1081.2,999.6,12.8
,570.28,775,275.0,450.0,94.4,569.65,775,0.2,25.6,25.2,569.96,775,1081.2,999.6,12.8
,571.26,775,275.0,460.0,94.4,570.60,775,0.2,25.6,25.2,570.94,775,1081.2,999.6,12.8
,572.22,775,275.0,465.0,94.4,571.58,775,0.2,25.6,25.4,571.90,775,1081.2,999.6,12.8
,573.18,775,275.0,465.0,94.4,572.54,775,0.2,25.6,25.2,572.86,775,1081.2,999.6,12.8
,574.14,775,280.0,465.0,94.4,573.50,775,0.2,25.6,25.4,573.82,775,1081.2,999.6,12.8
,575.10,775,280.0,460.0,94.4,574.46,775,0.2,25.6,25.0,574.78,775,1081.2,999.6,12.8
,576.06,775,275.0,460.0,94.4,575.42,775,0.2,25.6,25.2,575.74,775,1081.2,999.6,12.8
,577.02,775,280.0,465.0,94.4,576.38,775,0.2,25.6,25.2,576.70,775,1081.2,999.6,12.8
,577.98,775,280.0,450.0,94.4,577.34,775,0.2,25.6,25.4,577.66,775,1081.2,999.6,12.8
,578.94,775,275.0,460.0,94.4,578.30,775,0.2,25.6,25.2,578.62,775,1081.2,999.6,12.8
,579.90,775,275.0,465.0,94.4,579.26,775,0.2,25.6,25.4,579.58,775,1081.2,999.6,12.8
,580.86,775,275.0,460.0,94.4,580.22,775,0.2,25.6,25.2,580.54,775,1081.2,999.6,12.8
,581.82,775,280.0,465.0,94.4,581.18,775,0.2,25.6,25.0,581.50,775,1081.2,999.6,12.8
,582.78,775,275.0,465.0,94.4,582.14,775,0.2,25.6,25.2,582.46,775,1081.2,999.6,12.8
,583.74,775,275.0,465.0,94.4,583.10,775,0.2,25.6,25.2,583.42,775,1081.2,999.6,12.8
,584.70,775,275.0,460.0,94.4,584.06,775,0.2,25.6,25.2,584.38,775,1081.2,999.6,12.8
,585.66,836,475.0,460.0,10.0,585.02,816,7.6,25.4,24.2,585.34,836,1111.8,999.6,12.8
,586.62,1040,480.0,465.0,4.8,585.98,857,11.6,25.4,24.8,586.30,857,1122.0,1009.8,12.8
,587.58,1795,560.0,505.0,4.8,586.94,1244,21.0,24.0,25.0,587.26,1530,1499.4,1030.2,12.8
,588.54,2652,535.0,640.0,18.7,587.90,2081,23.2,43.8,28.6,588.22,2387,1887.0,1193.4,12.8
,589.50,1571,445.0,550.0,94.4,588.86,2611,0.2,46.8,36.4,589.18,1897,1254.6,1315.8,16.7
,590.46,1897,840.0,615.0,4.8,589.82,1632,24.4,34.2,29.8,590.14,1754,1917.6,1224.0,12.8
,591.42,2428,850.0,775.0,4.8,590.78,2060,36.0,43.6,34.2,591.10,2244,1978.8,1448.4,12.8
,592.38,2938,630.0,815.0,14.7,591.74,2611,36.8,46.8,42.0,592.06,2795,1978.8,1825.8,12.8
,593.34,1918,840.0,640.0,4.8,592.70,2244,0.2,45.0,38.6,593.02,1979,1621.8,1397.4,37.9
,594.30,2122,850.0,745.0,4.8,593.66,1979,33.6,43.0,35.4,593.98,2040,1978.8,1468.8,12.8
,595.26,2366,850.0,810.0,4.8,594.62,2203,37.6,44.4,40.4,594.94,2264,1978.8,1683.0,12.8
,596.22,2611,850.0,870.0,4.8,595.58,2448,49.0,46.4,42.2,595.90,2530,1978.8,1856.4,12.8
,597.18,2856,850.0,855.0,4.8,596.54,2693,49.6,46.8,42.0,596.86,2754,1978.8,1958.4,12.8
,598.14,2876,375.0,865.0,39.0,597.50,2917,49.8,46.8,41.8,597.82,2999,1978.8,2029.8,17.5
,599.10,2162,850.0,775.0,4.8,598.46,2142,14.8,44.2,36.6,598.78,2122,1978.8,1550.4,12.8
,600.06,2264,850.0,810.0,4.8,599.42,2203,48.8,44.4,40.8,599.74,2224,1978.8,1744.2,12.8
,601.02,2387,850.0,835.0,4.8,600.38,2305,48.8,45.2,41.6,600.70,2346,1978.8,1825.8,12.8
,601.98,2407,290.0,605.0,94.4,601.34,2407,23.4,46.0,42.0,601.66,2387,1550.4,1693.2,17.1
,602.94,2305,285.0,535.0,94.4,602.30,2366,0.2,45.8,30.0,602.62,2346,1315.8,1224.0,23.5
,603.92,2142,275.0,515.0,94.4,603.26,2244,0.2,44.8,28.0,603.60,2183,1295.4,1132.2,12.8
,604.88,1958,265.0,505.0,94.4,604.24,2081,0.2,43.8,28.0,604.56,2020,1275.0,1101.6,12.8
,605.84,1795,265.0,500.0,94.4,605.20,1897,0.2,40.6,27.6,605.52,1856,1244.4,1091.4,12.8
,606.80,1081,260.0,530.0,94.4,606.16,1775,0.2,36.6,27.6,606.48,1591,1193.4,1071.0,12.8
,607.76,1306,260.0,445.0,94.4,607.12,836,0.2,25.4,25.8,607.44,1020,1071.0,1050.6,13.5
,608.72,1999,270.0,475.0,94.4,608.08,1693,0.2,35.2,25.6,608.40,2081,1275.0,1009.8,12.8
,609.68,1020,260.0,510.0,94.4,609.04,1897,0.2,40.0,27.6,609.36,1510,1173.0,1071.0,12.8
,610.64,796,270.0,455.0,94.4,610.00,816,0.2,25.4,25.8,610.32,796,1081.2,1050.6,12.8
,611.60,775,270.0,445.0,94.4,610.96,775,0.2,25.6,24.8,611.28,775,1081.2,1020.0,12.8
,612.56,775,270.0,455.0,94.4,611.92,775,0.2,25.6,24.8,612.24,775,1081.2,1009.8,12.8
,613.50,775,275.0,440.0,94.4,612.86,775,0.2,25.6,24.4,613.18,775,1081.2,1009.8,12.8
,614.46,816,310.0,420.0,94.4,613.82,775,0.2,25.6,24.8,614.14,775,1081.2,999.6,12.8
,615.42,836,515.0,450.0,93.6,614.78,877,6.4,25.2,25.0,615.10,898,1111.8,1009.8,12.8
,616.38,938,585.0,480.0,4.8,615.74,938,4.8,25.0,24.4,616.06,796,1122.0,1020.0,12.8
,617.34,1612,545.0,475.0,4.8,616.70,1163,19.8,24.2,24.0,617.02,1387,1407.6,1030.2,12.8
,618.30,2040,280.0,525.0,60.6,617.66,1856,12.0,39.0,28.0,617.98,1999,1448.4,1111.8,12.8
,619.26,877,260.0,475.0,94.4,618.62,1571,0.2,32.8,29.4,618.94,1081,1081.2,1122.0,14.3
,620.22,1020,260.0,480.0,94.4,619.58,836,0.2,25.4,25.2,619.90,959,1060.8,1040.4,13.9
,621.18,918,260.0,470.0,94.4,620.54,1000,1.8,24.8,25.0,620.86,959,1060.8,1020.0,12.8
,622.14,836,260.0,445.0,94.4,621.50,877,1.6,25.2,24.8,621.81,836,1060.8,1020.0,12.8
,623.10,796,340.0,445.0,94.0,622.46,796,4.2,25.6,24.2,622.77,816,1071.0,1009.8,12.8
,624.06,877,340.0,450.0,94.4,623.42,796,8.4,25.6,25.0,623.74,857,1091.4,1009.8,12.8
,625.02,959,430.0,450.0,94.0,624.38,918,10.0,25.2,24.4,624.70,918,1101.6,1009.8,12.8
,625.98,1122,470.0,480.0,73.7,625.34,938,18.4,25.0,24.6,625.66,1040,1173.0,1020.0,12.8
,626.94,1285,295.0,470.0,94.4,626.30,1183,11.4,24.2,24.6,626.62,1224,1244.4,1030.2,12.8
,627.90,1367,310.0,475.0,94.4,627.26,1346,7.4,27.0,25.8,627.58,1285,1264.8,1040.4,12.8
,628.86,1428,295.0,485.0,94.4,628.21,1367,8.0,27.4,26.8,628.54,1408,1285.2,1040.4,12.8
,629.82,1448,295.0,485.0,94.4,629.18,1448,7.4,29.6,26.8,629.50,1448,1295.4,1050.6,12.8
,630.78,1408,265.0,485.0,94.4,630.14,1469,6.4,30.0,26.8,630.46,1448,1285.2,1060.8,12.8
,631.74,1408,265.0,485.0,94.4,631.10,1448,5.0,29.4,27.0,631.42,1408,1275.0,1050.6,12.8
,632.70,1346,260.0,480.0,94.4,632.06,1387,5.0,28.2,26.2,632.38,1367,1234.2,1040.4,12.8
,633.66,1285,270.0,485.0,94.4,633.02,1326,4.8,26.0,25.6,633.34,1306,1254.6,1040.4,12.8
,634.62,1285,350.0,480.0,94.4,633.98,1285,6.4,24.6,25.2,634.30,1306,1264.8,1040.4,12.8
,635.58,1346,320.0,490.0,94.4,634.94,1326,8.4,26.0,25.6,635.26,1326,1275.0,1040.4,12.8
,636.54,1346,270.0,490.0,94.4,635.90,1387,8.2,27.6,26.4,636.22,1387,1264.8,1050.6,12.8
,637.49,1346,270.0,490.0,94.4,636.85,1367,5.2,27.6,26.4,637.18,1367,1264.8,1040.4,12.8
,638.45,1306,265.0,490.0,94.4,637.82,1326,5.2,26.2,25.6,638.14,1326,1254.6,1040.4,12.8
,639.41,1224,260.0,475.0,94.4,638.77,1285,4.4,25.2,25.8,639.10,1265,1203.6,1040.4,12.8
,640.38,1142,265.0,485.0,94.4,639.74,1204,3.6,24.0,25.4,640.06,1163,1183.2,1030.2,12.8
,641.34,1142,300.0,490.0,94.4,640.69,1142,6.8,24.2,25.4,641.01,1163,1193.4,1020.0,12.8
,642.30,1204,320.0,480.0,94.4,641.66,1163,8.8,24.2,25.2,641.98,1183,1213.8,1030.2,12.8
,643.25,1224,280.0,485.0,94.4,642.61,1204,7.8,24.0,25.2,642.93,1224,1224.0,1030.2,12.8
,644.21,1224,265.0,480.0,94.4,643.57,1224,6.2,24.0,25.2,643.90,1204,1203.6,1030.2,12.8
,645.18,1163,270.0,475.0,94.4,644.54,1183,5.2,24.2,25.0,644.85,1183,1193.4,1020.0,12.8
,646.11,1122,270.0,475.0,94.4,645.49,1142,6.0,24.2,25.0,645.80,1142,1162.8,1020.0,12.8
,647.07,1081,265.0,475.0,94.4,646.43,1102,5.8,24.4,24.8,646.76,1102,1142.4,1020.0,12.8
,648.04,1040,270.0,485.0,94.4,647.40,1061,5.8,24.6,25.4,647.71,1061,1111.8,1020.0,12.8
,648.99,836,270.0,460.0,94.4,648.35,1020,4.8,24.8,25.0,648.67,857,1081.2,1020.0,12.8
,649.95,775,275.0,455.0,94.4,649.31,816,0.2,25.4,25.0,649.63,796,1081.2,1009.8,12.8
,650.91,775,275.0,455.0,94.4,650.27,775,0.2,25.6,24.4,650.59,775,1081.2,1009.8,12.8
,651.87,775,275.0,445.0,94.4,651.23,775,0.2,25.6,24.6,651.55,775,1081.2,1009.8,12.8
,652.83,775,275.0,440.0,94.4,652.19,775,0.2,25.6,24.8,652.51,775,1081.2,999.6,12.8
,653.79,755,280.0,440.0,94.4,653.15,775,0.2,25.6,24.2,653.47,775,1081.2,999.6,12.8
,654.73,898,265.0,450.0,45.0,654.09,877,0.2,25.2,23.6,654.41,938,1081.2,999.6,12.8
,655.69,796,270.0,465.0,94.4,655.05,836,0.2,25.4,24.6,655.37,816,1081.2,1009.8,12.8
,656.65,775,270.0,445.0,94.4,656.01,796,0.2,25.6,25.2,656.33,796,1071.0,1009.8,12.8
,657.61,775,275.0,450.0,94.4,656.97,775,0.2,25.6,24.8,657.29,775,1081.2,1009.8,12.8
,658.59,775,275.0,450.0,94.4,657.93,775,0.2,25.6,25.0,658.27,775,1081.2,999.6,12.8
,659.56,836,300.0,455.0,94.4,658.92,775,0.2,25.6,25.0,659.24,959,1071.0,999.6,12.8
,660.51,796,295.0,465.0,94.4,659.87,857,2.0,25.4,24.6,660.19,857,1081.2,1009.8,12.8
,661.47,816,280.0,445.0,94.4,660.83,836,0.2,25.4,24.0,661.15,796,1081.2,1009.8,12.8
,662.43,796,275.0,455.0,94.4,661.79,775,0.2,25.6,24.8,662.11,816,1071.0,1009.8,12.8
,663.39,775,275.0,450.0,94.4,662.75,775,0.2,25.6,25.0,663.07,775,1071.0,1009.8,12.8
,664.35,755,285.0,455.0,94.4,663.71,755,0.2,25.6,25.2,664.03,755,1081.2,999.6,12.8
,665.31,775,275.0,460.0,94.4,664.67,775,0.2,25.6,24.6,664.99,775,1081.2,999.6,12.8
,666.27,775,275.0,450.0,94.4,665.63,775,0.2,25.6,24.8,665.95,775,1081.2,999.6,12.8
,667.23,775,275.0,455.0,94.4,666.59,775,0.2,25.6,25.0,666.91,775,1081.2,999.6,12.8
